model,data,fraction,roc,ap
IF,musk,0.01,0.8029,0.3452
IF,musk,0.02,0.8323,0.3993
IF,musk,0.03,0.8906,0.5525
IF,musk,0.04,0.9077,0.5567
IF,musk,0.05,0.9077,0.5567
IF,musk,0.060000000000000005,0.915,0.582
IF,musk,0.06999999999999999,0.9609,0.7349
IF,musk,0.08,0.98,0.7571
IF,musk,0.09,0.9805,0.7702
IF,musk,0.09999999999999999,0.9738,0.7582
IF,musk,0.11,0.9873,0.8478
IF,musk,0.12,0.987,0.8665
IF,musk,0.13,0.9765,0.8016
IF,musk,0.14,0.9765,0.8016
IF,musk,0.15000000000000002,0.9861,0.8593
IF,musk,0.16,0.9951,0.9356
IF,musk,0.17,0.9959,0.9462
IF,musk,0.18000000000000002,0.9956,0.9386
IF,musk,0.19,0.9952,0.9176
IF,musk,0.2,0.9977,0.9564
IF,musk,0.21000000000000002,0.999,0.9793
IF,musk,0.22,0.999,0.9793
IF,musk,0.23,0.9968,0.948
IF,musk,0.24000000000000002,0.9995,0.9899
IF,musk,0.25,0.9998,0.9936
IF,musk,0.26,0.9976,0.9602
IF,musk,0.27,0.9976,0.9611
IF,musk,0.28,0.9985,0.9654
IF,musk,0.29000000000000004,0.9989,0.9649
IF,musk,0.3,0.9993,0.9888
IF,musk,0.31,0.9993,0.9884
IF,musk,0.32,0.9983,0.9694
IF,musk,0.33,0.9985,0.9618
IF,musk,0.34,0.9999,0.9952
IF,musk,0.35000000000000003,0.9999,0.9952
IF,musk,0.36000000000000004,0.9991,0.9833
IF,musk,0.37,0.9958,0.9545
IF,musk,0.38,0.9972,0.9527
IF,musk,0.39,0.998,0.9661
IF,musk,0.4,0.998,0.9662
IF,musk,0.41000000000000003,0.9973,0.9619
IF,musk,0.42000000000000004,0.9997,0.9907
IF,musk,0.43,0.9994,0.9878
IF,musk,0.44,0.9994,0.9878
IF,musk,0.45,0.9979,0.9624
IF,musk,0.46,0.997,0.9633
IF,musk,0.47000000000000003,0.9983,0.9757
IF,musk,0.48000000000000004,0.9983,0.9757
IF,musk,0.49,0.9985,0.9712
IF,musk,0.5,0.9987,0.9711
IF,musk,0.51,0.9993,0.9825
IF,musk,0.52,0.9987,0.9691
IF,musk,0.53,0.9987,0.9691
IF,musk,0.54,0.9999,0.9981
IF,musk,0.55,0.9982,0.9699
IF,musk,0.56,0.9999,0.9977
IF,musk,0.5700000000000001,0.9999,0.9977
IF,musk,0.5800000000000001,0.9986,0.9723
IF,musk,0.59,0.9976,0.963
IF,musk,0.6,0.9989,0.9838
IF,musk,0.61,0.9989,0.9838
IF,musk,0.62,0.9993,0.9857
IF,musk,0.63,0.9997,0.9928
IF,musk,0.64,0.9987,0.9768
IF,musk,0.65,0.9973,0.9745
IF,musk,0.66,0.9973,0.9743
IF,musk,0.67,0.9979,0.9838
IF,musk,0.68,0.9985,0.9701
IF,musk,0.6900000000000001,0.9991,0.9772
IF,musk,0.7000000000000001,0.9991,0.9772
IF,musk,0.7100000000000001,0.9995,0.9885
IF,musk,0.72,0.9956,0.9321
IF,musk,0.73,0.9986,0.9774
IF,musk,0.74,0.9986,0.9772
IF,musk,0.75,0.9987,0.9727
IF,musk,0.76,0.9973,0.9606
IF,musk,0.77,0.9974,0.9584
IF,musk,0.78,0.998,0.9529
IF,musk,0.79,0.998,0.9529
IF,musk,0.8,0.9972,0.9609
IF,musk,0.81,0.9965,0.9366
IF,musk,0.8200000000000001,0.9977,0.9567
IF,musk,0.8300000000000001,0.9977,0.9567
IF,musk,0.8400000000000001,0.9995,0.9885
IF,musk,0.85,0.9962,0.9257
IF,musk,0.86,0.9973,0.9423
IF,musk,0.87,0.9973,0.9423
IF,musk,0.88,0.9952,0.9224
IF,musk,0.89,0.9922,0.895
IF,musk,0.9,0.9943,0.9014
IF,musk,0.91,0.9956,0.9287
IF,musk,0.92,0.9956,0.9285
IF,musk,0.93,0.9873,0.8999
IF,musk,0.9400000000000001,0.9969,0.9294
IF,musk,0.9500000000000001,0.9976,0.9466
IF,musk,0.9600000000000001,0.9976,0.9466
IF,musk,0.97,0.9899,0.8801
IF,musk,0.98,0.9871,0.8874
IF,musk,0.99,0.9962,0.9297
IF,musk,1.0,0.997,0.9413
KNN,musk,0.01,0.9261,0.6421
KNN,musk,0.02,1.0,1.0
KNN,musk,0.03,1.0,1.0
KNN,musk,0.04,1.0,1.0
KNN,musk,0.05,1.0,1.0
KNN,musk,0.060000000000000005,1.0,1.0
KNN,musk,0.06999999999999999,1.0,1.0
KNN,musk,0.08,1.0,1.0
KNN,musk,0.09,1.0,1.0
KNN,musk,0.09999999999999999,1.0,1.0
KNN,musk,0.11,0.9998,0.9947
KNN,musk,0.12,0.9987,0.979
KNN,musk,0.13,0.9987,0.979
KNN,musk,0.14,0.9987,0.979
KNN,musk,0.15000000000000002,0.9986,0.973
KNN,musk,0.16,0.9941,0.9312
KNN,musk,0.17,0.9372,0.8285
KNN,musk,0.18000000000000002,0.9372,0.8275
KNN,musk,0.19,0.9346,0.8263
KNN,musk,0.2,0.9335,0.82
KNN,musk,0.21000000000000002,0.9335,0.82
KNN,musk,0.22,0.9334,0.8162
