model,data,fraction,roc,ap
IF,pendigits,0.01,0.972,0.3986
IF,pendigits,0.02,0.9709,0.3997
IF,pendigits,0.03,0.968,0.3938
IF,pendigits,0.04,0.9706,0.3835
IF,pendigits,0.05,0.9725,0.4028
IF,pendigits,0.060000000000000005,0.9682,0.3858
IF,pendigits,0.06999999999999999,0.9668,0.3842
IF,pendigits,0.08,0.9685,0.3771
IF,pendigits,0.09,0.9677,0.3779
IF,pendigits,0.09999999999999999,0.9675,0.3844
IF,pendigits,0.11,0.969,0.3853
IF,pendigits,0.12,0.9677,0.3716
IF,pendigits,0.13,0.9719,0.3934
IF,pendigits,0.14,0.9682,0.3858
IF,pendigits,0.15000000000000002,0.9682,0.3908
IF,pendigits,0.16,0.97,0.3927
IF,pendigits,0.17,0.9667,0.3668
IF,pendigits,0.18000000000000002,0.9648,0.3541
IF,pendigits,0.19,0.9631,0.3693
IF,pendigits,0.2,0.9671,0.371
IF,pendigits,0.21000000000000002,0.9644,0.3742
IF,pendigits,0.22,0.964,0.3848
IF,pendigits,0.23,0.9647,0.3676
IF,pendigits,0.24000000000000002,0.9648,0.3872
IF,pendigits,0.25,0.9687,0.4006
IF,pendigits,0.26,0.969,0.3883
IF,pendigits,0.27,0.9674,0.3956
IF,pendigits,0.28,0.9635,0.3679
IF,pendigits,0.29000000000000004,0.9642,0.3521
IF,pendigits,0.3,0.9636,0.378
IF,pendigits,0.31,0.9622,0.3763
IF,pendigits,0.32,0.9679,0.3918
IF,pendigits,0.33,0.9647,0.3711
IF,pendigits,0.34,0.9616,0.3513
IF,pendigits,0.35000000000000003,0.9633,0.3649
IF,pendigits,0.36000000000000004,0.9642,0.3757
IF,pendigits,0.37,0.9644,0.3774
IF,pendigits,0.38,0.9611,0.3547
IF,pendigits,0.39,0.9646,0.4006
IF,pendigits,0.4,0.9643,0.3811
IF,pendigits,0.41000000000000003,0.9611,0.3692
IF,pendigits,0.42000000000000004,0.96,0.3676
IF,pendigits,0.43,0.9627,0.3664
IF,pendigits,0.44,0.9629,0.3646
IF,pendigits,0.45,0.9584,0.3476
IF,pendigits,0.46,0.9609,0.3646
IF,pendigits,0.47000000000000003,0.9593,0.365
IF,pendigits,0.48000000000000004,0.9609,0.369
IF,pendigits,0.49,0.9595,0.3615
IF,pendigits,0.5,0.959,0.3722
IF,pendigits,0.51,0.9611,0.3836
IF,pendigits,0.52,0.9614,0.3705
IF,pendigits,0.53,0.9647,0.3832
IF,pendigits,0.54,0.9584,0.3515
IF,pendigits,0.55,0.9593,0.3549
IF,pendigits,0.56,0.9597,0.3543
IF,pendigits,0.5700000000000001,0.9545,0.3327
IF,pendigits,0.5800000000000001,0.9645,0.3622
IF,pendigits,0.59,0.962,0.3705
IF,pendigits,0.6,0.9615,0.3624
IF,pendigits,0.61,0.9586,0.3531
IF,pendigits,0.62,0.961,0.3605
IF,pendigits,0.63,0.958,0.3451
IF,pendigits,0.64,0.9573,0.3379
IF,pendigits,0.65,0.954,0.3293
IF,pendigits,0.66,0.9578,0.3367
IF,pendigits,0.67,0.9549,0.3261
IF,pendigits,0.68,0.9536,0.312
