model,data,fraction,roc,ap
IF,satellite,0.01,0.7647,0.7509
IF,satellite,0.02,0.7704,0.7536
IF,satellite,0.03,0.768,0.7546
IF,satellite,0.04,0.7561,0.7484
IF,satellite,0.05,0.7774,0.7587
IF,satellite,0.060000000000000005,0.7694,0.7501
IF,satellite,0.06999999999999999,0.7718,0.7531
IF,satellite,0.08,0.7602,0.7492
IF,satellite,0.09,0.7599,0.7473
IF,satellite,0.09999999999999999,0.7656,0.7514
IF,satellite,0.11,0.7541,0.744
IF,satellite,0.12,0.7589,0.746
IF,satellite,0.13,0.7469,0.7406
IF,satellite,0.14,0.7594,0.7453
IF,satellite,0.15000000000000002,0.7569,0.7445
IF,satellite,0.16,0.7522,0.7377
IF,satellite,0.17,0.7583,0.742
IF,satellite,0.18000000000000002,0.7533,0.7334
IF,satellite,0.19,0.7593,0.7376
IF,satellite,0.2,0.745,0.7321
IF,satellite,0.21000000000000002,0.7467,0.7347
IF,satellite,0.22,0.742,0.7339
IF,satellite,0.23,0.7466,0.7322
IF,satellite,0.24000000000000002,0.7438,0.7302
IF,satellite,0.25,0.7389,0.7275
IF,satellite,0.26,0.7392,0.7269
IF,satellite,0.27,0.7487,0.7294
IF,satellite,0.28,0.7422,0.7267
IF,satellite,0.29000000000000004,0.7423,0.7232
IF,satellite,0.3,0.7437,0.7274
IF,satellite,0.31,0.7347,0.7181
IF,satellite,0.32,0.7324,0.7173
IF,satellite,0.33,0.7258,0.7149
IF,satellite,0.34,0.7296,0.7153
IF,satellite,0.35000000000000003,0.7235,0.7105
IF,satellite,0.36000000000000004,0.7351,0.7203
IF,satellite,0.37,0.7283,0.7108
IF,satellite,0.38,0.7366,0.7232
IF,satellite,0.39,0.731,0.7135
IF,satellite,0.4,0.7401,0.723
IF,satellite,0.41000000000000003,0.7278,0.705
IF,satellite,0.42000000000000004,0.7223,0.7073
IF,satellite,0.43,0.726,0.7083
IF,satellite,0.44,0.723,0.7101
IF,satellite,0.45,0.7262,0.7139
IF,satellite,0.46,0.7291,0.714
IF,satellite,0.47000000000000003,0.7191,0.707
IF,satellite,0.48000000000000004,0.728,0.7086
IF,satellite,0.49,0.7265,0.7073
IF,satellite,0.5,0.7194,0.7023
IF,satellite,0.51,0.7267,0.7095
IF,satellite,0.52,0.7177,0.703
IF,satellite,0.53,0.7206,0.7064
IF,satellite,0.54,0.7091,0.6985
IF,satellite,0.55,0.7177,0.7065
IF,satellite,0.56,0.7135,0.6984
IF,satellite,0.5700000000000001,0.7097,0.6945
IF,satellite,0.5800000000000001,0.7129,0.6947
IF,satellite,0.59,0.7126,0.6902
IF,satellite,0.6,0.707,0.6956
IF,satellite,0.61,0.7092,0.693
IF,satellite,0.62,0.7058,0.6865
IF,satellite,0.63,0.7093,0.6906
IF,satellite,0.64,0.707,0.686
IF,satellite,0.65,0.7082,0.6913
IF,satellite,0.66,0.7057,0.6883
IF,satellite,0.67,0.7119,0.6942
IF,satellite,0.68,0.7075,0.6858
IF,satellite,0.6900000000000001,0.703,0.6805
IF,satellite,0.7000000000000001,0.7072,0.6805
IF,satellite,0.7100000000000001,0.7102,0.6833
IF,satellite,0.72,0.7197,0.6898
IF,satellite,0.73,0.712,0.6858
IF,satellite,0.74,0.7105,0.6898
IF,satellite,0.75,0.7101,0.6806
IF,satellite,0.76,0.6936,0.6757
IF,satellite,0.77,0.6994,0.6767
IF,satellite,0.78,0.7052,0.6854
IF,satellite,0.79,0.7083,0.6828
IF,satellite,0.8,0.7071,0.6778
IF,satellite,0.81,0.694,0.6724
IF,satellite,0.8200000000000001,0.6992,0.6758
IF,satellite,0.8300000000000001,0.6781,0.6568
IF,satellite,0.8400000000000001,0.6916,0.6753
IF,satellite,0.85,0.6942,0.6805
IF,satellite,0.86,0.6787,0.6686
IF,satellite,0.87,0.6812,0.6646
IF,satellite,0.88,0.6916,0.6686
IF,satellite,0.89,0.6875,0.6571
IF,satellite,0.9,0.6918,0.6689
IF,satellite,0.91,0.6884,0.6661
IF,satellite,0.92,0.6779,0.6577
IF,satellite,0.93,0.6864,0.662
IF,satellite,0.9400000000000001,0.6888,0.6638
IF,satellite,0.9500000000000001,0.691,0.6684
IF,satellite,0.9600000000000001,0.6894,0.6636
IF,satellite,0.97,0.6851,0.6523
IF,satellite,0.98,0.6852,0.6528
IF,satellite,0.99,0.6828,0.6529
IF,satellite,1.0,0.6826,0.655
KNN,satellite,0.01,0.8501,0.8015
KNN,satellite,0.02,0.8485,0.7954
KNN,satellite,0.03,0.8428,0.777
KNN,satellite,0.04,0.8396,0.7673
KNN,satellite,0.05,0.8353,0.7575
KNN,satellite,0.060000000000000005,0.8312,0.7484
KNN,satellite,0.06999999999999999,0.8265,0.7383
KNN,satellite,0.08,0.823,0.7333
KNN,satellite,0.09,0.8178,0.7238
KNN,satellite,0.09999999999999999,0.8141,0.7166
KNN,satellite,0.11,0.8109,0.7119
KNN,satellite,0.12,0.8072,0.7047
KNN,satellite,0.13,0.8039,0.7003
KNN,satellite,0.14,0.8,0.6949
KNN,satellite,0.15000000000000002,0.7972,0.6916
KNN,satellite,0.16,0.7952,0.6873
KNN,satellite,0.17,0.7932,0.6834
KNN,satellite,0.18000000000000002,0.7886,0.6779
KNN,satellite,0.19,0.7856,0.6747
KNN,satellite,0.2,0.784,0.6727
KNN,satellite,0.21000000000000002,0.7823,0.6689
KNN,satellite,0.22,0.7789,0.6648
KNN,satellite,0.23,0.7771,0.6613
KNN,satellite,0.24000000000000002,0.7742,0.6585
KNN,satellite,0.25,0.7725,0.6564
KNN,satellite,0.26,0.7713,0.6543
KNN,satellite,0.27,0.7685,0.651
KNN,satellite,0.28,0.7664,0.6475
KNN,satellite,0.29000000000000004,0.7647,0.6444
KNN,satellite,0.3,0.7623,0.6411
KNN,satellite,0.31,0.7608,0.64
KNN,satellite,0.32,0.7594,0.6379
KNN,satellite,0.33,0.7563,0.6344
KNN,satellite,0.34,0.7549,0.6325
KNN,satellite,0.35000000000000003,0.7533,0.6302
KNN,satellite,0.36000000000000004,0.7516,0.6285
KNN,satellite,0.37,0.75,0.6264
KNN,satellite,0.38,0.7488,0.6251
KNN,satellite,0.39,0.7474,0.6232
KNN,satellite,0.4,0.7454,0.6215
KNN,satellite,0.41000000000000003,0.744,0.6194
KNN,satellite,0.42000000000000004,0.7426,0.6179
KNN,satellite,0.43,0.7409,0.6164
KNN,satellite,0.44,0.7396,0.6141
KNN,satellite,0.45,0.7383,0.6111
KNN,satellite,0.46,0.7363,0.6086
KNN,satellite,0.47000000000000003,0.7351,0.6075
KNN,satellite,0.48000000000000004,0.7341,0.6061
KNN,satellite,0.49,0.733,0.6046
KNN,satellite,0.5,0.7319,0.6034
KNN,satellite,0.51,0.7305,0.602
KNN,satellite,0.52,0.7296,0.6009
KNN,satellite,0.53,0.7283,0.5989
KNN,satellite,0.54,0.7262,0.5972
KNN,satellite,0.55,0.7251,0.5954
