model,data,fraction,roc,ap
IF,satimage-2,0.01,0.9915,0.9073
IF,satimage-2,0.02,0.9918,0.9092
IF,satimage-2,0.03,0.9918,0.9092
IF,satimage-2,0.04,0.9908,0.9062
IF,satimage-2,0.05,0.9908,0.9062
IF,satimage-2,0.060000000000000005,0.989,0.8932
IF,satimage-2,0.06999999999999999,0.989,0.8932
IF,satimage-2,0.08,0.9896,0.899
IF,satimage-2,0.09,0.9912,0.9044
IF,satimage-2,0.09999999999999999,0.9912,0.9044
IF,satimage-2,0.11,0.9927,0.9105
IF,satimage-2,0.12,0.9927,0.9105
IF,satimage-2,0.13,0.9897,0.9028
IF,satimage-2,0.14,0.9897,0.9028
IF,satimage-2,0.15000000000000002,0.991,0.9015
IF,satimage-2,0.16,0.9912,0.8995
IF,satimage-2,0.17,0.9916,0.9092
IF,satimage-2,0.18000000000000002,0.9917,0.9147
IF,satimage-2,0.19,0.9917,0.9147
IF,satimage-2,0.2,0.9915,0.9141
IF,satimage-2,0.21000000000000002,0.9915,0.9141
IF,satimage-2,0.22,0.9891,0.9067
IF,satimage-2,0.23,0.9925,0.9083
IF,satimage-2,0.24000000000000002,0.9926,0.9088
IF,satimage-2,0.25,0.9909,0.9126
IF,satimage-2,0.26,0.9909,0.9126
IF,satimage-2,0.27,0.9898,0.9147
IF,satimage-2,0.28,0.9898,0.9147
IF,satimage-2,0.29000000000000004,0.992,0.9187
IF,satimage-2,0.3,0.9898,0.9142
IF,satimage-2,0.31,0.9895,0.9089
IF,satimage-2,0.32,0.993,0.9114
IF,satimage-2,0.33,0.9929,0.9119
IF,satimage-2,0.34,0.9918,0.9073
IF,satimage-2,0.35000000000000003,0.9918,0.9073
IF,satimage-2,0.36000000000000004,0.9915,0.9074
IF,satimage-2,0.37,0.9905,0.9071
IF,satimage-2,0.38,0.9906,0.9112
IF,satimage-2,0.39,0.9936,0.9141
IF,satimage-2,0.4,0.9939,0.9154
IF,satimage-2,0.41000000000000003,0.9911,0.9122
IF,satimage-2,0.42000000000000004,0.9906,0.9106
IF,satimage-2,0.43,0.9898,0.9092
IF,satimage-2,0.44,0.9906,0.9053
IF,satimage-2,0.45,0.991,0.9105
IF,satimage-2,0.46,0.9923,0.9101
IF,satimage-2,0.47000000000000003,0.9926,0.917
IF,satimage-2,0.48000000000000004,0.9928,0.9212
IF,satimage-2,0.49,0.9929,0.9228
IF,satimage-2,0.5,0.9904,0.9215
IF,satimage-2,0.51,0.9909,0.9154
IF,satimage-2,0.52,0.9906,0.908
IF,satimage-2,0.53,0.9915,0.9126
IF,satimage-2,0.54,0.9917,0.9168
IF,satimage-2,0.55,0.99,0.9164
IF,satimage-2,0.56,0.99,0.9109
IF,satimage-2,0.5700000000000001,0.9906,0.9045
IF,satimage-2,0.5800000000000001,0.9897,0.9011
IF,satimage-2,0.59,0.9905,0.9148
IF,satimage-2,0.6,0.9909,0.9188
IF,satimage-2,0.61,0.9903,0.9098
IF,satimage-2,0.62,0.9894,0.9148
IF,satimage-2,0.63,0.9898,0.9215
IF,satimage-2,0.64,0.99,0.9192
IF,satimage-2,0.65,0.9943,0.9194
IF,satimage-2,0.66,0.9943,0.9194
IF,satimage-2,0.67,0.9922,0.9119
IF,satimage-2,0.68,0.9921,0.9117
IF,satimage-2,0.6900000000000001,0.9912,0.9097
IF,satimage-2,0.7000000000000001,0.9914,0.9132
IF,satimage-2,0.7100000000000001,0.9919,0.9178
IF,satimage-2,0.72,0.9914,0.9124
IF,satimage-2,0.73,0.9914,0.9124
IF,satimage-2,0.74,0.9919,0.9054
IF,satimage-2,0.75,0.9923,0.9118
IF,satimage-2,0.76,0.9906,0.9088
IF,satimage-2,0.77,0.99,0.9026
IF,satimage-2,0.78,0.9902,0.9065
IF,satimage-2,0.79,0.9921,0.9128
IF,satimage-2,0.8,0.9921,0.9128
IF,satimage-2,0.81,0.9923,0.9074
IF,satimage-2,0.8200000000000001,0.9923,0.9074
IF,satimage-2,0.8300000000000001,0.9933,0.9104
IF,satimage-2,0.8400000000000001,0.9934,0.9122
IF,satimage-2,0.85,0.988,0.9151
